category,cmpl_fc1,cmpl_fc1_cd,cmpl_fc2,synonym,lemma
Mattresses,fiberglass,CF007,unzip,none,none
Box Springs,fiberglass,CF007,unzip,none,none
Mattress Toppers,fiberglass,CF007,unzip,none,none
Beds,cover issue,CF006,facbric,none,none
Mattresses,cover issue,CF006,facbric,none,none
Box Springs,cover issue,CF006,facbric,none,none
Mattress Toppers,cover issue,CF006,facbric,none,none
Bed Frames,uncomfortable,CF014,pain,too hurt,too hurt
Mattresses,uncomfortable,CF014,pain,too hurt,too hurt
Box Springs,uncomfortable,CF014,pain,too hurt,too hurt
Mattress Toppers,uncomfortable,CF014,pain,too hurt,too hurt
Bed Frames,uncomfortable,CF014,pain,hurts,hurt
Mattresses,uncomfortable,CF014,pain,hurts,hurt
Box Springs,uncomfortable,CF014,pain,hurts,hurt
Mattress Toppers,uncomfortable,CF014,pain,hurts,hurt
Bed Frames,uncomfortable,CF014,pain,aches,ache
Mattresses,uncomfortable,CF014,pain,aches,ache
Box Springs,uncomfortable,CF014,pain,aches,ache
Mattress Toppers,uncomfortable,CF014,pain,aches,ache
Bed Frames,uncomfortable,CF014,pain,pained,pained
Mattresses,uncomfortable,CF014,pain,pained,pained
Box Springs,uncomfortable,CF014,pain,pained,pained
Mattress Toppers,uncomfortable,CF014,pain,pained,pained
Bed Frames,uncomfortable,CF014,pain,achey,achey
Mattresses,uncomfortable,CF014,pain,achey,achey
Box Springs,uncomfortable,CF014,pain,achey,achey
Mattress Toppers,uncomfortable,CF014,pain,achey,achey
Bed Frames,uncomfortable,CF014,pain,back hurt,back hurt
Mattresses,uncomfortable,CF014,pain,back hurt,back hurt
Box Springs,uncomfortable,CF014,pain,back hurt,back hurt
Mattress Toppers,uncomfortable,CF014,pain,back hurt,back hurt
Bed Frames,uncomfortable,CF014,pain,very itchy,very itchy
Mattresses,uncomfortable,CF014,pain,very itchy,very itchy
Box Springs,uncomfortable,CF014,pain,very itchy,very itchy
Mattress Toppers,uncomfortable,CF014,pain,very itchy,very itchy
Bed Frames,uncomfortable,CF014,pain,injured,injured
Mattresses,uncomfortable,CF014,pain,injured,injured
Box Springs,uncomfortable,CF014,pain,injured,injured
Mattress Toppers,uncomfortable,CF014,pain,injured,injured
Bed Frames,uncomfortable,CF014,pain,hurt,hurt
Mattresses,uncomfortable,CF014,pain,hurt,hurt
Box Springs,uncomfortable,CF014,pain,hurt,hurt
Mattress Toppers,uncomfortable,CF014,pain,hurt,hurt
Bed Frames,uncomfortable,CF014,pain,backpain,backpain
Mattresses,uncomfortable,CF014,pain,backpain,backpain
Box Springs,uncomfortable,CF014,pain,backpain,backpain
Mattress Toppers,uncomfortable,CF014,pain,backpain,backpain
Bed Frames,uncomfortable,CF014,pain,very ill,very ill
Mattresses,uncomfortable,CF014,pain,very ill,very ill
Box Springs,uncomfortable,CF014,pain,very ill,very ill
Mattress Toppers,uncomfortable,CF014,pain,very ill,very ill
Bed Frames,uncomfortable,CF014,pain,too itchy,too itchy
Mattresses,uncomfortable,CF014,pain,too itchy,too itchy
Box Springs,uncomfortable,CF014,pain,too itchy,too itchy
Mattress Toppers,uncomfortable,CF014,pain,too itchy,too itchy
Bed Frames,uncomfortable,CF014,pain,very painful,very painful
Mattresses,uncomfortable,CF014,pain,very painful,very painful
Box Springs,uncomfortable,CF014,pain,very painful,very painful
Mattress Toppers,uncomfortable,CF014,pain,very painful,very painful
Bed Frames,uncomfortable,CF014,pain,so pain,so pain
Mattresses,uncomfortable,CF014,pain,so pain,so pain
Box Springs,uncomfortable,CF014,pain,so pain,so pain
Mattress Toppers,uncomfortable,CF014,pain,so pain,so pain
Bed Frames,uncomfortable,CF014,pain,injury,injury
Mattresses,uncomfortable,CF014,pain,injury,injury
Box Springs,uncomfortable,CF014,pain,injury,injury
Mattress Toppers,uncomfortable,CF014,pain,injury,injury
Bed Frames,uncomfortable,CF014,pain,painful,painful
Mattresses,uncomfortable,CF014,pain,painful,painful
Box Springs,uncomfortable,CF014,pain,painful,painful
Mattress Toppers,uncomfortable,CF014,pain,painful,painful
Bed Frames,uncomfortable,CF014,pain,injuries,injury
Mattresses,uncomfortable,CF014,pain,injuries,injury
Box Springs,uncomfortable,CF014,pain,injuries,injury
Mattress Toppers,uncomfortable,CF014,pain,injuries,injury
Bed Frames,uncomfortable,CF014,pain,suffer,suffer
Mattresses,uncomfortable,CF014,pain,suffer,suffer
Box Springs,uncomfortable,CF014,pain,suffer,suffer
Mattress Toppers,uncomfortable,CF014,pain,suffer,suffer
Bed Frames,uncomfortable,CF014,pain,back problems,back problems
Mattresses,uncomfortable,CF014,pain,back problems,back problems
Box Springs,uncomfortable,CF014,pain,back problems,back problems
Mattress Toppers,uncomfortable,CF014,pain,back problems,back problems
Bed Frames,uncomfortable,CF014,pain,painful sensation,painful sensation
Mattresses,uncomfortable,CF014,pain,painful sensation,painful sensation
Box Springs,uncomfortable,CF014,pain,painful sensation,painful sensation
Mattress Toppers,uncomfortable,CF014,pain,painful sensation,painful sensation
Bed Frames,uncomfortable,CF014,pain,so sore,so sore
Mattresses,uncomfortable,CF014,pain,so sore,so sore
Box Springs,uncomfortable,CF014,pain,so sore,so sore
Mattress Toppers,uncomfortable,CF014,pain,so sore,so sore
Bed Frames,uncomfortable,CF014,pain,aching,aching
Mattresses,uncomfortable,CF014,pain,aching,aching
Box Springs,uncomfortable,CF014,pain,aching,aching
Mattress Toppers,uncomfortable,CF014,pain,aching,aching
Bed Frames,uncomfortable,CF014,pain,so itchy,so itchy
Mattresses,uncomfortable,CF014,pain,so itchy,so itchy
Box Springs,uncomfortable,CF014,pain,so itchy,so itchy
Mattress Toppers,uncomfortable,CF014,pain,so itchy,so itchy
Bed Frames,uncomfortable,CF014,pain,very hurt,very hurt
Mattresses,uncomfortable,CF014,pain,very hurt,very hurt
Box Springs,uncomfortable,CF014,pain,very hurt,very hurt
Mattress Toppers,uncomfortable,CF014,pain,very hurt,very hurt
Bed Frames,uncomfortable,CF014,pain,ache,ache
Mattresses,uncomfortable,CF014,pain,ache,ache
Box Springs,uncomfortable,CF014,pain,ache,ache
Mattress Toppers,uncomfortable,CF014,pain,ache,ache
Bed Frames,uncomfortable,CF014,pain,very sore,very sore
Mattresses,uncomfortable,CF014,pain,very sore,very sore
Box Springs,uncomfortable,CF014,pain,very sore,very sore
Mattress Toppers,uncomfortable,CF014,pain,very sore,very sore
Bed Frames,uncomfortable,CF014,pain,sores,sore
Mattresses,uncomfortable,CF014,pain,sores,sore
Box Springs,uncomfortable,CF014,pain,sores,sore
Mattress Toppers,uncomfortable,CF014,pain,sores,sore
Bed Frames,uncomfortable,CF014,pain,pain sensation,pain sensation
Mattresses,uncomfortable,CF014,pain,pain sensation,pain sensation
Box Springs,uncomfortable,CF014,pain,pain sensation,pain sensation
Mattress Toppers,uncomfortable,CF014,pain,pain sensation,pain sensation
Bed Frames,uncomfortable,CF014,pain,break a bone,break a bone
Mattresses,uncomfortable,CF014,pain,break a bone,break a bone
Box Springs,uncomfortable,CF014,pain,break a bone,break a bone
Mattress Toppers,uncomfortable,CF014,pain,break a bone,break a bone
Bed Frames,uncomfortable,CF014,pain,paining,paining
Mattresses,uncomfortable,CF014,pain,paining,paining
Box Springs,uncomfortable,CF014,pain,paining,paining
Mattress Toppers,uncomfortable,CF014,pain,paining,paining
Bed Frames,uncomfortable,CF014,pain,back hurts,back hurts
Mattresses,uncomfortable,CF014,pain,back hurts,back hurts
Box Springs,uncomfortable,CF014,pain,back hurts,back hurts
Mattress Toppers,uncomfortable,CF014,pain,back hurts,back hurts
Bed Frames,uncomfortable,CF014,pain,so hurt,so hurt
Mattresses,uncomfortable,CF014,pain,so hurt,so hurt
Box Springs,uncomfortable,CF014,pain,so hurt,so hurt
Mattress Toppers,uncomfortable,CF014,pain,so hurt,so hurt
Bed Frames,uncomfortable,CF014,pain,serious pain,serious pain
Mattresses,uncomfortable,CF014,pain,serious pain,serious pain
Box Springs,uncomfortable,CF014,pain,serious pain,serious pain
Mattress Toppers,uncomfortable,CF014,pain,serious pain,serious pain
Bed Frames,uncomfortable,CF014,pain,agonizing,agonizing
Mattresses,uncomfortable,CF014,pain,agonizing,agonizing
Box Springs,uncomfortable,CF014,pain,agonizing,agonizing
Mattress Toppers,uncomfortable,CF014,pain,agonizing,agonizing
Bed Frames,uncomfortable,CF014,pain,sore,sore
Mattresses,uncomfortable,CF014,pain,sore,sore
Box Springs,uncomfortable,CF014,pain,sore,sore
Mattress Toppers,uncomfortable,CF014,pain,sore,sore
Bed Frames,uncomfortable,CF014,pain,pains,pain
Mattresses,uncomfortable,CF014,pain,pains,pain
Box Springs,uncomfortable,CF014,pain,pains,pain
Mattress Toppers,uncomfortable,CF014,pain,pains,pain
Bed Frames,uncomfortable,CF014,pain,hurting,hurting
Mattresses,uncomfortable,CF014,pain,hurting,hurting
Box Springs,uncomfortable,CF014,pain,hurting,hurting
Mattress Toppers,uncomfortable,CF014,pain,hurting,hurting
Bed Frames,uncomfortable,CF014,pain,painfulness,painfulness
Mattresses,uncomfortable,CF014,pain,painfulness,painfulness
Box Springs,uncomfortable,CF014,pain,painfulness,painfulness
Mattress Toppers,uncomfortable,CF014,pain,painfulness,painfulness
Bed Frames,uncomfortable,CF014,pain,so painful,so painful
Mattresses,uncomfortable,CF014,pain,so painful,so painful
Box Springs,uncomfortable,CF014,pain,so painful,so painful
Mattress Toppers,uncomfortable,CF014,pain,so painful,so painful
Bed Frames,uncomfortable,CF014,pain,neck pain,neck pain
Mattresses,uncomfortable,CF014,pain,neck pain,neck pain
Box Springs,uncomfortable,CF014,pain,neck pain,neck pain
Mattress Toppers,uncomfortable,CF014,pain,neck pain,neck pain
Bed Frames,uncomfortable,CF014,pain,so sick,so sick
Mattresses,uncomfortable,CF014,pain,so sick,so sick
Box Springs,uncomfortable,CF014,pain,so sick,so sick
Mattress Toppers,uncomfortable,CF014,pain,so sick,so sick
Bed Frames,uncomfortable,CF014,pain,back pain,back pain
Mattresses,uncomfortable,CF014,pain,back pain,back pain
Box Springs,uncomfortable,CF014,pain,back pain,back pain
Mattress Toppers,uncomfortable,CF014,pain,back pain,back pain
Bed Frames,uncomfortable,CF014,pain,ached,ached
Mattresses,uncomfortable,CF014,pain,ached,ached
Box Springs,uncomfortable,CF014,pain,ached,ached
Mattress Toppers,uncomfortable,CF014,pain,ached,ached
Bed Frames,uncomfortable,CF014,pain,agony,agony
Mattresses,uncomfortable,CF014,pain,agony,agony
Box Springs,uncomfortable,CF014,pain,agony,agony
Mattress Toppers,uncomfortable,CF014,pain,agony,agony
Bed Frames,uncomfortable,CF014,pain,achy,achy
Mattresses,uncomfortable,CF014,pain,achy,achy
Box Springs,uncomfortable,CF014,pain,achy,achy
Mattress Toppers,uncomfortable,CF014,pain,achy,achy
Beds,defect,CF002,finish,finis,finis
Bed Frames,defect,CF002,finish,finis,finis
Mattresses,defect,CF002,finish,finis,finis
Box Springs,defect,CF002,finish,finis,finis
Sofas & Couches,defect,CF002,finish,finis,finis
Mattress Toppers,defect,CF002,finish,finis,finis
Beds,defect,CF002,finish,refinement,refinement
Bed Frames,defect,CF002,finish,refinement,refinement
Mattresses,defect,CF002,finish,refinement,refinement
Box Springs,defect,CF002,finish,refinement,refinement
Sofas & Couches,defect,CF002,finish,refinement,refinement
Mattress Toppers,defect,CF002,finish,refinement,refinement
Beds,defect,CF002,finish,unfinished,unfinished
Bed Frames,defect,CF002,finish,unfinished,unfinished
Mattresses,defect,CF002,finish,unfinished,unfinished
Box Springs,defect,CF002,finish,unfinished,unfinished
Sofas & Couches,defect,CF002,finish,unfinished,unfinished
Mattress Toppers,defect,CF002,finish,unfinished,unfinished
Beds,defect,CF002,finish,terminate,terminate
Bed Frames,defect,CF002,finish,terminate,terminate
Mattresses,defect,CF002,finish,terminate,terminate
Box Springs,defect,CF002,finish,terminate,terminate
Sofas & Couches,defect,CF002,finish,terminate,terminate
Mattress Toppers,defect,CF002,finish,terminate,terminate
Beds,defect,CF002,finish,finishes,finish
Bed Frames,defect,CF002,finish,finishes,finish
Mattresses,defect,CF002,finish,finishes,finish
Box Springs,defect,CF002,finish,finishes,finish
Sofas & Couches,defect,CF002,finish,finishes,finish
Mattress Toppers,defect,CF002,finish,finishes,finish
Beds,defect,CF002,finish,finished,finished
Bed Frames,defect,CF002,finish,finished,finished
Mattresses,defect,CF002,finish,finished,finished
Box Springs,defect,CF002,finish,finished,finished
Sofas & Couches,defect,CF002,finish,finished,finished
Mattress Toppers,defect,CF002,finish,finished,finished
Beds,defect,CF002,finish,finishing,finishing
Bed Frames,defect,CF002,finish,finishing,finishing
Mattresses,defect,CF002,finish,finishing,finishing
Box Springs,defect,CF002,finish,finishing,finishing
Sofas & Couches,defect,CF002,finish,finishing,finishing
Mattress Toppers,defect,CF002,finish,finishing,finishing
Beds,size issue,CF008,long,too tall,too tall
Bed Frames,size issue,CF008,long,too tall,too tall
Mattresses,size issue,CF008,long,too tall,too tall
Box Springs,size issue,CF008,long,too tall,too tall
Sofas & Couches,size issue,CF008,long,too tall,too tall
Mattress Toppers,size issue,CF008,long,too tall,too tall
Beds,size issue,CF008,long,too long ,too long 
Bed Frames,size issue,CF008,long,too long ,too long 
Mattresses,size issue,CF008,long,too long ,too long 
Box Springs,size issue,CF008,long,too long ,too long 
Sofas & Couches,size issue,CF008,long,too long ,too long 
Mattress Toppers,size issue,CF008,long,too long ,too long 
Beds,size issue,CF008,long,very tall,very tall
Bed Frames,size issue,CF008,long,very tall,very tall
Mattresses,size issue,CF008,long,very tall,very tall
Box Springs,size issue,CF008,long,very tall,very tall
Sofas & Couches,size issue,CF008,long,very tall,very tall
Mattress Toppers,size issue,CF008,long,very tall,very tall
Beds,size issue,CF008,long,so long,so long
Bed Frames,size issue,CF008,long,so long,so long
Mattresses,size issue,CF008,long,so long,so long
Box Springs,size issue,CF008,long,so long,so long
Sofas & Couches,size issue,CF008,long,so long,so long
Mattress Toppers,size issue,CF008,long,so long,so long
Beds,size issue,CF008,long,very long,very long
Bed Frames,size issue,CF008,long,very long,very long
Mattresses,size issue,CF008,long,very long,very long
Box Springs,size issue,CF008,long,very long,very long
Sofas & Couches,size issue,CF008,long,very long,very long
Mattress Toppers,size issue,CF008,long,very long,very long
All,customer service,CF021,low response,[NULL],[NULL]
Beds,recovery,CF011,height,tallness,tallness
Bed Frames,recovery,CF011,height,tallness,tallness
Mattresses,recovery,CF011,height,tallness,tallness
Box Springs,recovery,CF011,height,tallness,tallness
Sofas & Couches,recovery,CF011,height,tallness,tallness
Mattress Toppers,recovery,CF011,height,tallness,tallness
Beds,recovery,CF011,height,stature,stature
Bed Frames,recovery,CF011,height,stature,stature
Mattresses,recovery,CF011,height,stature,stature
Box Springs,recovery,CF011,height,stature,stature
Sofas & Couches,recovery,CF011,height,stature,stature
Mattress Toppers,recovery,CF011,height,stature,stature
All,customer service,CF021,no response,low responses,low response
All,customer service,CF021,no response,low response,low response
All,customer service,CF021,no response,no answers,no answer
Beds,defect,CF002,wrong part,none,none
Bed Frames,defect,CF002,wrong part,none,none
Mattresses,defect,CF002,wrong part,none,none
Box Springs,defect,CF002,wrong part,none,none
Sofas & Couches,defect,CF002,wrong part,none,none
Mattress Toppers,defect,CF002,wrong part,none,none
[NULL],springs felt,CF016,spring,feel the springs,feel the spring
[NULL],springs felt,CF016,spring,feel springs,feel spring
Bed Frames,uncomfortable,CF014,gap between slat,gaps between slats,gaps between slats
Mattresses,uncomfortable,CF014,gap between slat,gaps between slats,gaps between slats
Box Springs,uncomfortable,CF014,gap between slat,gaps between slats,gaps between slats
Mattress Toppers,uncomfortable,CF014,gap between slat,gaps between slats,gaps between slats
Bed Frames,uncomfortable,CF014,gap between slat,gap between slats,none
Mattresses,uncomfortable,CF014,gap between slat,gap between slats,none
Box Springs,uncomfortable,CF014,gap between slat,gap between slats,none
Mattress Toppers,uncomfortable,CF014,gap between slat,gap between slats,none
Beds,durability,CF001,skirt,skirts,skirt
Bed Frames,durability,CF001,skirt,skirts,skirt
Mattresses,durability,CF001,skirt,skirts,skirt
Box Springs,durability,CF001,skirt,skirts,skirt
Sofas & Couches,durability,CF001,skirt,skirts,skirt
Mattress Toppers,durability,CF001,skirt,skirts,skirt
Beds,durability,CF001,skirt,bedskirt,bedskirt
Bed Frames,durability,CF001,skirt,bedskirt,bedskirt
Mattresses,durability,CF001,skirt,bedskirt,bedskirt
Box Springs,durability,CF001,skirt,bedskirt,bedskirt
Sofas & Couches,durability,CF001,skirt,bedskirt,bedskirt
Mattress Toppers,durability,CF001,skirt,bedskirt,bedskirt
Beds,recovery,CF011,width,none,none
Bed Frames,recovery,CF011,width,none,none
Mattresses,recovery,CF011,width,none,none
Box Springs,recovery,CF011,width,none,none
Sofas & Couches,recovery,CF011,width,none,none
Mattress Toppers,recovery,CF011,width,none,none
Bed Frames,structure design,CF022,gaps between slats,none,none
Mattress Toppers,structure design,CF022,gaps between slats,none,none
Beds,cover issue,CF006,durability,stability,stability
Mattresses,cover issue,CF006,durability,stability,stability
Box Springs,cover issue,CF006,durability,stability,stability
Mattress Toppers,cover issue,CF006,durability,stability,stability
Beds,cover issue,CF006,durability,lastingness,lastingness
Mattresses,cover issue,CF006,durability,lastingness,lastingness
Box Springs,cover issue,CF006,durability,lastingness,lastingness
Mattress Toppers,cover issue,CF006,durability,lastingness,lastingness
Beds,cover issue,CF006,durability,durable,durable
Mattresses,cover issue,CF006,durability,durable,durable
Box Springs,cover issue,CF006,durability,durable,durable
Mattress Toppers,cover issue,CF006,durability,durable,durable
Beds,cover issue,CF006,durability,enduringness,enduringness
Mattresses,cover issue,CF006,durability,enduringness,enduringness
Box Springs,cover issue,CF006,durability,enduringness,enduringness
Mattress Toppers,cover issue,CF006,durability,enduringness,enduringness
Beds,cover issue,CF006,durability,strength,strength
Mattresses,cover issue,CF006,durability,strength,strength
Box Springs,cover issue,CF006,durability,strength,strength
Mattress Toppers,cover issue,CF006,durability,strength,strength
Beds,cover issue,CF006,durability,consistency,consistency
Mattresses,cover issue,CF006,durability,consistency,consistency
Box Springs,cover issue,CF006,durability,consistency,consistency
Mattress Toppers,cover issue,CF006,durability,consistency,consistency
Beds,recovery,CF011,manufacture date,none,none
Bed Frames,recovery,CF011,manufacture date,none,none
Mattresses,recovery,CF011,manufacture date,none,none
Box Springs,recovery,CF011,manufacture date,none,none
Sofas & Couches,recovery,CF011,manufacture date,none,none
Mattress Toppers,recovery,CF011,manufacture date,none,none
Mattresses,fiberglass,CF007,durability,stability,stability
Box Springs,fiberglass,CF007,durability,stability,stability
Mattress Toppers,fiberglass,CF007,durability,stability,stability
Mattresses,fiberglass,CF007,durability,lastingness,lastingness
Box Springs,fiberglass,CF007,durability,lastingness,lastingness
Mattress Toppers,fiberglass,CF007,durability,lastingness,lastingness
Mattresses,fiberglass,CF007,durability,durable,durable
Box Springs,fiberglass,CF007,durability,durable,durable
Mattress Toppers,fiberglass,CF007,durability,durable,durable
Mattresses,fiberglass,CF007,durability,enduringness,enduringness
Box Springs,fiberglass,CF007,durability,enduringness,enduringness
Mattress Toppers,fiberglass,CF007,durability,enduringness,enduringness
Mattresses,fiberglass,CF007,durability,strength,strength
Box Springs,fiberglass,CF007,durability,strength,strength
Mattress Toppers,fiberglass,CF007,durability,strength,strength
Mattresses,fiberglass,CF007,durability,consistency,consistency
Box Springs,fiberglass,CF007,durability,consistency,consistency
Mattress Toppers,fiberglass,CF007,durability,consistency,consistency
All,customer service,CF021,warranty,warrenty,warrenty
All,customer service,CF021,warranty,guaranty,guaranty
All,customer service,CF021,warranty,guarantee,guarantee
All,customer service,CF021,warranty,verification,verification
All,customer service,CF021,warranty,warrant,warrant
All,customer service,CF021,warranty,qualify,qualify
All,customer service,CF021,warranty,certificate,certificate
All,customer service,CF021,warranty,warranties,warranty
All,customer service,CF021,warranty,warranted,warranted
All,customer service,CF021,warranty,warrantee,warrantee
Beds,defect,CF002,headboard,headboards,headboard
Bed Frames,defect,CF002,headboard,headboards,headboard
Mattresses,defect,CF002,headboard,headboards,headboard
Box Springs,defect,CF002,headboard,headboards,headboard
Sofas & Couches,defect,CF002,headboard,headboards,headboard
Mattress Toppers,defect,CF002,headboard,headboards,headboard
Beds,defect,CF002,headboard,boards,board
Bed Frames,defect,CF002,headboard,boards,board
Mattresses,defect,CF002,headboard,boards,board
Box Springs,defect,CF002,headboard,boards,board
Sofas & Couches,defect,CF002,headboard,boards,board
Mattress Toppers,defect,CF002,headboard,boards,board
Beds,defect,CF002,headboard,hb,hb
Bed Frames,defect,CF002,headboard,hb,hb
Mattresses,defect,CF002,headboard,hb,hb
Box Springs,defect,CF002,headboard,hb,hb
Sofas & Couches,defect,CF002,headboard,hb,hb
Mattress Toppers,defect,CF002,headboard,hb,hb
Beds,defect,CF002,headboard,board,board
Bed Frames,defect,CF002,headboard,board,board
Mattresses,defect,CF002,headboard,board,board
Box Springs,defect,CF002,headboard,board,board
Sofas & Couches,defect,CF002,headboard,board,board
Mattress Toppers,defect,CF002,headboard,board,board
Beds,defect,CF002,headboard,backboard,backboard
Bed Frames,defect,CF002,headboard,backboard,backboard
Mattresses,defect,CF002,headboard,backboard,backboard
Box Springs,defect,CF002,headboard,backboard,backboard
Sofas & Couches,defect,CF002,headboard,backboard,backboard
Mattress Toppers,defect,CF002,headboard,backboard,backboard
Beds,defect,CF002,headboard,headbord,headbord
Bed Frames,defect,CF002,headboard,headbord,headbord
Mattresses,defect,CF002,headboard,headbord,headbord
Box Springs,defect,CF002,headboard,headbord,headbord
Sofas & Couches,defect,CF002,headboard,headbord,headbord
Mattress Toppers,defect,CF002,headboard,headbord,headbord
Beds,size issue,CF008,headboard,headboards,headboard
Bed Frames,size issue,CF008,headboard,headboards,headboard
Mattresses,size issue,CF008,headboard,headboards,headboard
Box Springs,size issue,CF008,headboard,headboards,headboard
Sofas & Couches,size issue,CF008,headboard,headboards,headboard
Mattress Toppers,size issue,CF008,headboard,headboards,headboard
Beds,size issue,CF008,headboard,boards,board
Bed Frames,size issue,CF008,headboard,boards,board
Mattresses,size issue,CF008,headboard,boards,board
Box Springs,size issue,CF008,headboard,boards,board
Sofas & Couches,size issue,CF008,headboard,boards,board
Mattress Toppers,size issue,CF008,headboard,boards,board
Beds,size issue,CF008,headboard,hb,hb
Bed Frames,size issue,CF008,headboard,hb,hb
Mattresses,size issue,CF008,headboard,hb,hb
Box Springs,size issue,CF008,headboard,hb,hb
Sofas & Couches,size issue,CF008,headboard,hb,hb
Mattress Toppers,size issue,CF008,headboard,hb,hb
Beds,size issue,CF008,headboard,board,board
Bed Frames,size issue,CF008,headboard,board,board
Mattresses,size issue,CF008,headboard,board,board
Box Springs,size issue,CF008,headboard,board,board
Sofas & Couches,size issue,CF008,headboard,board,board
Mattress Toppers,size issue,CF008,headboard,board,board
Beds,size issue,CF008,headboard,backboard,backboard
Bed Frames,size issue,CF008,headboard,backboard,backboard
Mattresses,size issue,CF008,headboard,backboard,backboard
Box Springs,size issue,CF008,headboard,backboard,backboard
Sofas & Couches,size issue,CF008,headboard,backboard,backboard
Mattress Toppers,size issue,CF008,headboard,backboard,backboard
Beds,size issue,CF008,headboard,headbord,headbord
Bed Frames,size issue,CF008,headboard,headbord,headbord
Mattresses,size issue,CF008,headboard,headbord,headbord
Box Springs,size issue,CF008,headboard,headbord,headbord
Sofas & Couches,size issue,CF008,headboard,headbord,headbord
Mattress Toppers,size issue,CF008,headboard,headbord,headbord
All,shipping damage,CF018,headboard,headboards,headboard
All,shipping damage,CF018,headboard,boards,board
All,shipping damage,CF018,headboard,hb,hb
All,shipping damage,CF018,headboard,board,board
All,shipping damage,CF018,headboard,backboard,backboard
All,shipping damage,CF018,headboard,headbord,headbord
Bed Frames,uncomfortable,CF014,inconvenient,extremely uncomfortable,extremely uncomfortable
Mattresses,uncomfortable,CF014,inconvenient,extremely uncomfortable,extremely uncomfortable
Box Springs,uncomfortable,CF014,inconvenient,extremely uncomfortable,extremely uncomfortable
Mattress Toppers,uncomfortable,CF014,inconvenient,extremely uncomfortable,extremely uncomfortable
Bed Frames,uncomfortable,CF014,inconvenient,extremely bouncy,extremely bouncy
Mattresses,uncomfortable,CF014,inconvenient,extremely bouncy,extremely bouncy
Box Springs,uncomfortable,CF014,inconvenient,extremely bouncy,extremely bouncy
Mattress Toppers,uncomfortable,CF014,inconvenient,extremely bouncy,extremely bouncy
Bed Frames,uncomfortable,CF014,inconvenient,extremely inconvenient,extremely inconvenient
Mattresses,uncomfortable,CF014,inconvenient,extremely inconvenient,extremely inconvenient
Box Springs,uncomfortable,CF014,inconvenient,extremely inconvenient,extremely inconvenient
Mattress Toppers,uncomfortable,CF014,inconvenient,extremely inconvenient,extremely inconvenient
Bed Frames,uncomfortable,CF014,inconvenient,too inconvenient,too inconvenient
Mattresses,uncomfortable,CF014,inconvenient,too inconvenient,too inconvenient
Box Springs,uncomfortable,CF014,inconvenient,too inconvenient,too inconvenient
Mattress Toppers,uncomfortable,CF014,inconvenient,too inconvenient,too inconvenient
Bed Frames,uncomfortable,CF014,inconvenient,extremly uncomfortable,extremely uncomfortable
Mattresses,uncomfortable,CF014,inconvenient,extremly uncomfortable,extremely uncomfortable
Box Springs,uncomfortable,CF014,inconvenient,extremly uncomfortable,extremely uncomfortable
Mattress Toppers,uncomfortable,CF014,inconvenient,extremly uncomfortable,extremely uncomfortable
Bed Frames,uncomfortable,CF014,inconvenient,discomport,discomport
Mattresses,uncomfortable,CF014,inconvenient,discomport,discomport
Box Springs,uncomfortable,CF014,inconvenient,discomport,discomport
Mattress Toppers,uncomfortable,CF014,inconvenient,discomport,discomport
Bed Frames,uncomfortable,CF014,inconvenient,low comport,low comport
Mattresses,uncomfortable,CF014,inconvenient,low comport,low comport
Box Springs,uncomfortable,CF014,inconvenient,low comport,low comport
Mattress Toppers,uncomfortable,CF014,inconvenient,low comport,low comport
Bed Frames,uncomfortable,CF014,inconvenient,any comfort,any comfort
Mattresses,uncomfortable,CF014,inconvenient,any comfort,any comfort
